0001,酒水饮料,皇家拿铁：享受牛奶的醇厚与奢华
0002,个护美妆,自然、健康、融合白玉兰花的精华
0003,食品生鲜,使用青森县产的苹果制作糖浆，
0004,酒水饮料,歌唱自由，麦尔特的演奏会定制
0005,酒水饮料,仿佛将茶叶的生命力完整凝缩其中，口感浓郁
0006,电子数码,成为您炫耀的方式
0007,个护美妆,在太阳下运动的人说：“绝对不能在一天里晒黑。”
0008,食品生鲜,北海道草莓冰激凌-北海道乳原料低温直送
0009,酒水饮料,脉动由我
0010,个护美妆,夏日，给肌肤送去清爽
0011,食品生鲜,葡萄冰激凌-连皮的口感都很好哦
0012,个护美妆,专门针对干燥肌肤，采用大米精华、美白保湿
0013,酒水饮料,冰凉爽口！三倍纯果汁，零糖零添加剂健康
0014,酒水饮料,一番酿造、灌注初心，精选第一道麦汁，打造原生口感
0015,酒水饮料,选用温州蜜柑，果汁含量99%，无香精、无防腐剂
0016,酒水饮料,天然零糖无添加
0017,酒水饮料,乳果说：双拼水果酸奶-爱“拼”才好喝
0018,食品生鲜,蔓越莓重乳酪芝士蛋糕：美味绝配
0019,酒水饮料,品质生活，从此开始
0020,食品生鲜,秋天野菜，很美味！
0021,电子数码,音色哲学，品质高级
0022,个护美妆,Dior面霜-滋养保湿、弹润饱满
0023,食品生鲜,鸡蛋三明治：一口满足你的味蕾
0024,酒水饮料,抹茶的清新加一份牛奶的丝滑，与冰块与搅打稀奶油搅拌出特有的清爽
0025,食品生鲜,冰激凌的甜美融入巧克力的松脆
0026,酒水饮料,无添加，还原水果天然的美味
0027,酒水饮料,黑糖风味，Q弹浸润奶茶果冻
0028,食品生鲜,品味水果的纯净甘甜
0029,酒水饮料,无糖无嘌呤清爽鸡尾酒
0030,酒水饮料,清爽可口，高级的味道
0031,食品生鲜,健康自然，轻糖无压力
0032,酒水饮料,理想中的奢华果汁饮料
0033,服饰鞋包,连衣裙，舒适怡人，符合女性的需求
0034,个护美妆,Dior-您的首席护理师
0035,服饰鞋包,时尚有型，炸街的不二选择
